LanePointX,LanePointY
59.037925,-1.650000
59.296165,-1.650000
59.553343,-1.650000
59.811490,-1.650000
63.922527,-1.650000
64.178574,-1.650000
64.434883,-1.650000
64.691003,-1.650000
64.946987,-1.650000
65.205121,-1.650000
65.460818,-1.650000
65.714784,-1.650000
65.970478,-1.650000
66.227542,-1.650000
66.481404,-1.650000
66.737047,-1.650000
66.992505,-1.650000
67.248418,-1.650000
67.505176,-1.650000
71.596775,-1.650000
71.850571,-1.650000
72.106335,-1.650000
72.361808,-1.650000
72.617691,-1.650000
72.875608,-1.650000
73.128495,-1.650000
73.383972,-1.650000
73.639654,-1.650000
73.895859,-1.650000
74.153524,-1.650000
74.407170,-1.650000
74.663105,-1.650000
74.918748,-1.650000
75.174451,-1.650000
79.270000,-1.650000
79.524325,-1.650000
79.780960,-1.650000
80.036921,-1.650000
80.293076,-1.650000
89.531078,-1.650000
89.788256,-1.650000
90.045618,-1.650000
90.302992,-1.650000
90.560791,-1.650000
94.680044,-1.650000
102.427419,-1.650000
102.685816,-1.650000
102.944639,-1.650000
103.203458,-1.650000
103.462272,-1.650000
103.720826,-1.650000
103.979380,-1.650000
104.238319,-1.650000
104.496977,-1.650000
104.755906,-1.650000
105.015425,-1.650000
105.274082,-1.650000
105.533090,-1.650000
105.791887,-1.650000
106.050811,-1.650000
110.199929,-1.650000
110.459970,-1.650000
110.718823,-1.650000
110.978559,-1.650000
111.240147,-1.650000
111.498044,-1.650000
111.758104,-1.650000
112.017828,-1.650000
112.277238,-1.650000
112.539126,-1.650000
112.798505,-1.650000
113.056533,-1.650000
113.316420,-1.650000
113.576303,-1.650000
113.836552,-1.650000
117.998829,-1.650000
118.259404,-1.650000
118.520727,-1.650000
118.781141,-1.650000
119.041431,-1.650000
119.301267,-1.650000
119.562257,-1.650000
119.822410,-1.650000
120.083045,-1.650000
120.344214,-1.650000
135.262253,-1.650000
135.524931,-1.650000
135.787641,-1.650000
136.050539,-1.650000
136.313983,-1.650000
136.576502,-1.650000
136.839542,-1.650000
137.103013,-1.650000
137.365322,-1.650000
141.575173,-1.650000
141.839106,-1.650000
142.101888,-1.650000
142.365244,-1.650000
142.628688,-1.650000
142.892117,-1.650000
143.155991,-1.650000
143.419711,-1.650000
143.814328,-1.650000
144.077956,-1.650000
144.344824,-1.650000
144.606400,-1.650000
144.868905,-1.650000
145.134373,-1.650000
145.397091,-1.650000
149.620332,-1.650000
149.884203,-1.650000
150.150526,-1.650000
150.413506,-1.650000
150.677876,-1.650000
150.942346,-1.650000
151.206186,-1.650000
151.472352,-1.650000
151.734756,-1.650000
151.999271,-1.650000
152.266006,-1.650000
152.527976,-1.650000
152.794198,-1.650000
153.058262,-1.650000
153.322403,-1.650000
157.558744,-1.650000
157.825083,-1.650000
158.091323,-1.650000
158.354013,-1.650000
158.618808,-1.650000
158.883647,-1.650000
159.148557,-1.650000
159.414816,-1.650000
159.679033,-1.650000
159.944025,-1.650000
160.209236,-1.650000
160.474687,-1.650000
160.740054,-1.650000
161.004828,-1.650000
161.269331,-1.650000
165.515946,-1.650000
165.781134,-1.650000
166.046688,-1.650000
166.312235,-1.650000
166.577793,-1.650000
166.843615,-1.650000
167.109503,-1.650000
167.375277,-1.650000
167.640997,-1.650000
167.906558,-1.650000
168.172313,-1.650000
168.438106,-1.650000
168.703751,-1.650000
168.970149,-1.650000
169.235854,-1.650000
173.497577,-1.650000
173.762554,-1.650000
174.029792,-1.650000
174.295510,-1.650000
181.513214,-1.650000
181.780986,-1.650000
182.048614,-1.650000
182.316354,-1.650000
182.584133,-1.650000
182.851941,-1.650000
183.119948,-1.650000
183.387892,-1.650000
183.655952,-1.650000
183.923985,-1.650000
184.192000,-1.650000
184.460260,-1.650000
184.727949,-1.650000
184.996035,-1.650000
185.264252,-1.650000
189.556456,-1.650000
189.824815,-1.650000
190.093318,-1.650000
190.364999,-1.650000
