LanePointX,LanePointY
30.567424,-3.300000
30.828836,-3.300000
31.091663,-3.300000
31.355506,-3.300000
31.618834,-3.300000
31.883232,-3.300000
32.146791,-3.300000
32.411424,-3.300000
32.676897,-3.300000
32.941142,-3.300000
33.205924,-3.300000
33.470812,-3.300000
33.735170,-3.300000
34.000275,-3.300000
34.264729,-3.300000
34.528559,-3.300000
34.792815,-3.300000
35.057056,-3.300000
35.321191,-3.300000
35.585242,-3.300000
35.849335,-3.300000
36.113036,-3.300000
36.378815,-3.300000
36.640742,-3.300000
36.905010,-3.300000
37.167681,-3.300000
37.431408,-3.300000
37.695293,-3.300000
37.957847,-3.300000
38.221913,-3.300000
38.486693,-3.300000
38.747825,-3.300000
39.011185,-3.300000
39.273395,-3.300000
39.536597,-3.300000
39.799858,-3.300000
40.062013,-3.300000
40.325838,-3.300000
40.588295,-3.300000
40.849381,-3.300000
41.113981,-3.300000
41.373918,-3.300000
41.636728,-3.300000
41.900837,-3.300000
42.160636,-3.300000
42.423240,-3.300000
42.684737,-3.300000
42.945872,-3.300000
43.208285,-3.300000
43.469771,-3.300000
43.731487,-3.300000
43.993127,-3.300000
44.254535,-3.300000
44.518010,-3.300000
44.777342,-3.300000
45.038455,-3.300000
45.299330,-3.300000
45.560341,-3.300000
45.821715,-3.300000
46.081576,-3.300000
46.342989,-3.300000
46.603738,-3.300000
46.864476,-3.300000
47.125136,-3.300000
47.384845,-3.300000
47.645974,-3.300000
47.906162,-3.300000
48.168465,-3.300000
48.426839,-3.300000
48.687401,-3.300000
48.947321,-3.300000
49.206933,-3.300000
49.468638,-3.300000
49.726297,-3.300000
49.986259,-3.300000
50.247200,-3.300000
50.505244,-3.300000
50.765282,-3.300000
51.024580,-3.300000
51.283595,-3.300000
51.542847,-3.300000
51.801663,-3.300000
52.060974,-3.300000
52.320411,-3.300000
52.578183,-3.300000
52.837768,-3.300000
53.096574,-3.300000
53.355345,-3.300000
53.614207,-3.300000
53.872113,-3.300000
54.130769,-3.300000
54.389161,-3.300000
54.647463,-3.300000
54.907660,-3.300000
55.163540,-3.300000
55.422115,-3.300000
55.680184,-3.300000
55.938497,-3.300000
56.197308,-3.300000
56.456183,-3.300000
56.714110,-3.300000
56.972779,-3.300000
57.231633,-3.300000
57.489430,-3.300000
57.748153,-3.300000
58.005769,-3.300000
58.264082,-3.300000
58.522505,-3.300000
58.779831,-3.300000
59.037925,-3.300000
59.296165,-3.300000
59.553343,-3.300000
59.811490,-3.300000
60.068399,-3.300000
60.325938,-3.300000
60.583958,-3.300000
60.840761,-3.300000
61.098437,-3.300000
61.357258,-3.300000
61.612145,-3.300000
61.871102,-3.300000
62.125972,-3.300000
62.382901,-3.300000
62.640151,-3.300000
62.896462,-3.300000
63.153249,-3.300000
63.409420,-3.300000
63.666170,-3.300000
63.922527,-3.300000
64.178574,-3.300000
64.434883,-3.300000
64.691003,-3.300000
64.946987,-3.300000
65.205121,-3.300000
65.460818,-3.300000
65.714784,-3.300000
65.970478,-3.300000
66.227542,-3.300000
66.481404,-3.300000
66.737047,-3.300000
66.992505,-3.300000
67.248418,-3.300000
67.505176,-3.300000
67.759860,-3.300000
68.017915,-3.300000
68.271596,-3.300000
68.527598,-3.300000
68.785251,-3.300000
69.039057,-3.300000
